Pesticide name,CAS #,Pesticide type,Mode of Action-short version,Mode of Action-Classification-site target,Survey inclusion (name),"Screened in a survey (N=0, Y=1)",Number of surveys screening (N),LD50 Oral Geometric mean (ug/bee),Oral LD50 Source,LD50 Contact Geometric mean (ug/bee),Contact LD50 Source,LOAEL Lowest sublethal significant dose of the publication per effect and exposure type (all Unit Measures),LOAEL Unit measure,"LOAEL Lowest sublethal significant dose per publication per effect and exposure type (μg bee-1, or ug bee-1 per day)",LOAEL Category (μg bee-1),SubTR (LOAEL/LD50),SubTR Category,Exposure type (oral vs contact),Exposure type (acute vs chronic),Exposure duration (h),Time (after exposure) of significant effect (h),Main feed type category,Subcategory of feed type,Feed type concentration provided (%),Bee type,Genus,Species,Species details,Sublethal effect main category,Sublethal effect sub-category,Sublethal effect-details,Original reference,Reference year,Review reference
Coumaphos,56-72-4,Insecticide,IRAC 1,IRAC 1B,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,4610,"Bohme et al, 2018",,,50,ppm,,,,,Oral,,,,,,,Larvae,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Affects expression of some proteins,"Gregorc A, Evans JD, Scharf M, Ellis JD. Gene expression in honey bee (Apis mellifera) larvae exposed to pesticides and varroa mites (Varroa destructor). J Insect Physiol 2012; 58: 1042–9.",2012,"Tihelka, E. ""Effects of Synthetic and Organic Varroacides on Honey Bee Health: A Review."" Slovenian Veterinary Research 55, no. 3 (2018): 119-40."
Coumaphos,56-72-4,Insecticide,IRAC 1,IRAC 1B,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,4610,"Bohme et al, 2018",,,100,ppm,,,,,,,,24,,,,Larvae,Apis,Apis mellifera,Apis mellifera,Physiological,Body development,"More than 50% of the queen cells were rejected, survivor queens weighed significantly less than control queens","Pettis, Jeffery S., Anita M. Collins, Reg Wilbanks, and Mark F. Feldlaufer. ""Effects of Coumaphos on Queen Rearing in the Honey Bee, Apis Mellifera."" Apidologie 35, no. 6 (Nov-Dec 2004): 605-10.",2004, 
Coumaphos,56-72-4,Insecticide,IRAC 1,IRAC 1B,"APHIS, Calatayud-Vernich et al., 2018, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, Tosi et al., 2018",1,7,4610,"Bohme et al, 2018",,,100,ppm,,,,,Oral,,,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,"Alters the expression of some genes related to detoxification, Behaviouralmaturation, immunity","Schmehl DR, Teal PE, Frazier JL, Grozinger CM. Genomic analysis of the interaction between pesticide exposure and nutrition in honey bees (Apis mellifera). J Insect Physiol 2014; 71: 177–90.",2014,"Tihelka, E. ""Effects of Synthetic and Organic Varroacides on Honey Bee Health: A Review."" Slovenian Veterinary Research 55, no. 3 (2018): 119-40."
Coumaphos oxon,321-54-0,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, ",1,2,,,,,3.6,ppb,,,,,,,,0.5,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Neurophysiology,Biphasic effect on KC ACh responses: initial potentiation followed by inhibition.,"Palmer, M. J., C. Moffat, N. Saranzewa, J. Harvey, G. A. Wright, and C. N. Connolly. ""Cholinergic Pesticides Cause Mushroom Body Neuronal Inactivation in Honeybees."" Nature Communications 4 (Mar 2013).",2013, 
Cyantraniliprole,736994-63-1,Insecticide,IRAC 28,IRAC 28,"APHIS, ",1,1,,,0.0934,PPDB,,,,,,,,,,,,,,,,,,,,,,, 
Cyazofamid,120116-88-3,Fungicide,FRAC C,FRAC 11 (C3),"APHIS, Porrini et al., 2016, Tosi et al., 2018",1,3,151.7,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Cyflufenamid,180409-60-3,Fungicide,FRAC U,FRAC U06 (U),"APHIS, ",1,1,100,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Cyflumetofen,400882-07-7,Insecticide,IRAC 25,IRAC 25A,"APHIS, ",1,1,116,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Cyfluthrin,68359-37-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Poshbee H2020, Tosi et al., 2018",1,5,0.05,PPDB,0.001,PPDB,0.01,μg/bee,0.01,<0.1,0.2,<1,Oral,Acute,,1,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,"Longer lasting bouts of upside down behaviour, decrease of time spent wing fanning","Oliver, C. J., S. Softley, S. M. Williamson, P. C. Stevenson, and G. A. Wright. ""Pyrethroids and Nectar Toxins Have Subtle Effects on the Motor Function, Grooming and Wing Fanning Behaviour of Honeybees (Apis Mellifera)."" PLoS One 10, no. 8 (Aug 2015): e0133733.",2015, 
Cyfluthrin,68359-37-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Poshbee H2020, Tosi et al., 2018",1,5,0.05,PPDB,0.001,PPDB,0.05,μg/bee,0.05,<0.1,,, ,,,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Slower learning of odour mediated response,"Taylor, K;, G; Waller, and L; Crowder. ""Impairement of a Classical Conditioned Responde of the Honey Bee by Sublethal Doses of Synthetic Pyrethroid Insecticides."" Apidologie 18, no. 3 (1987): 243-52.",1987,"Thompson, Helen M. ""BehaviouralEffects of Pesticides in Bees - Their Potential for Use in Risk Assessment."" Ecotoxicology 12, no. 1/4 (Feb-Aug 2003): 317-30."
Cyfluthrin,68359-37-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Poshbee H2020, Tosi et al., 2018",1,5,0.05,PPDB,0.001,PPDB,3,ppm,,,,,Oral,Acute,,,Carbohydrates,Sugar solution,,Adults,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,"Failed to exhibit any conditioned responses, no learning is evident","Abramson, C. I., I. S. Aquino, F. S. Ramalho, and J. M. Price. ""The Effect of Insecticides on Learning in the Africanized Honey Bee (Apis Mellifera L.)."" Archives of Environmental Contamination and Toxicology 37, no. 4 (Nov 1999): 529-35.",1999, 
Cyhalothrin,68085-85-8,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,0.027,PPDB,,,2,ppm,0.00027108,<0.001,0.010039994,<0.1,Oral,Acute,4,,Carbohydrates,Sugar solution,50, ,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Reduction of visitation,"Mayer, D. F., G. Kovacs, and J. D. Lunden. 1998. “Field and Laboratory Tests on the Effects of Cyhalothrin on Adults of Apis Mellifera, Megachile Rotundata and Nomia Melanderi.” Journal of Apicultural Research 37 (1): 33–37.",1998, 
Cyhalothrin,68085-85-8,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,0.027,PPDB,,,1.4919,ppm,0.001213272,<0.01,0.044936003,<0.1,Oral,Chronic,72,,Carbohydrates,Sugar solution,50,Adults,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,"Lower responses in PER memory test, lower homing rate at 2000m, lower relative expression levels of the Nmdar1 gene (workers) and GluRA gene (20 y/o workers)","Liao, C. H., X. J. He, Z. L. Wang, A. B. Barron, B. Zhang, Z. J. Zeng, and X. B. Wu. ""Short-Term Exposure to Lambda-Cyhalothrin Negatively Affects the Survival and Memory-Related Characteristics of Worker Bees Apis Mellifera."" Archives of Environmental Contamination and Toxicology 75, no. 1 (Jul 2018): 59-65.",2018, 
Cyhalothrin,68085-85-8,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,0.027,PPDB,,,0.00639,μg/bee,0.00639,<0.01,,,Contact,Acute,2,25,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,Decrease of total distance moved,"Ingram, E. M., J. Augustin, M. D. Ellis, and B. D. Siegfried. ""Evaluating Sub-Lethal Effects of Orchard-Applied Pyrethroids Using Video-Tracking Software to Quantify Honey Bee Behaviors."" Chemosphere 135 (Sep 2015): 272-77.",2015, 
Cyhalothrin,68085-85-8,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,0.027,PPDB,,,0.4,μg/bee,0.4,<1,,,,,,,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Reduced honeybee visitation,"Mayer, D.F., Kovacs, G., Lunden, J.D., 1998. Field and laboratory tests on the effects of cyhalothrin on adults of Apis mellifera, Megachile rotundata and Nomia melanderi. J. Apic. Res. 37, 33–37.",1998,"Thompson, Helen M. ""Behavioural Effects of Pesticides in Bees - Their Potential for Use in Risk Assessment."" Ecotoxicology 12, no. 1/4 (Feb-Aug 2003): 317-30."
Cymiazol,61676-87-7,Insecticide,NA,NA,"APHIS, ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymoxanil,57966-95-7,Fungicide,FRAC U,FRAC 27 (U),"APHIS, Porrini et al., 2016, ",1,2,85.3,PPDB,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Cypermethrin,52315-07-08,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.172,PPDB,0.023,PPDB,0.0025,μg/bee,0.0025,<0.01,0.108695652,<1,Contact,,,,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Activity,Decrease of the distance covered by individuals,"Charreton, M., A. Decourtye, M. Henry, G. Rodet, J. C. Sandoz, P. Charnet, and C. Collet. ""A Locomotor Deficit Induced by Sublethal Doses of Pyrethroid and Neonicotinoid Insecticides in the Honeybee Apis Mellifera."" PLoS One 10, no. 12 (Dec 2015): e0144879.",2015, 
Cypermethrin,52315-07-08,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.172,PPDB,0.023,PPDB,12.5,ppb,,,,,Oral,Chronic,3600,504,Carbohydrates,Sugar solution,, ,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,,"Bendahou, N., C. Fleche, and M. Bounias. ""Biological and Biochemical Effects of Chronic Exposure to Very Low Levels of Dietary Cypermethrin (Cymbush) on Honeybee Colonies (Hymenoptera: Apidae)."" Ecotoxicol Environ Saf 44, no. 2 (Oct 1999): 147-53.",1999, 
Cypermethrin,52315-07-08,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.172,PPDB,0.023,PPDB,0.4,nmol/bee,,,,,Injection,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Increase in the percentage inhibition of ATPase activity ,"Bendahou, N., M. Bounias, and C. Fleche. ""Toxicity of Cypermethrin and Fenitrothion on the Hemolymph Carbohydrates, Head Acetylcholinesterase, and Thoracic Muscle Na+, K+-Atpase of Emerging Honeybees (Apis Mellifera Mellifera. L)."" Ecotoxicology and Environmental Safety 44, no. 2 (Oct 1999): 139-46.",1999, 
Cypermethrin,52315-07-08,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.172,PPDB,0.023,PPDB,,,,,,,,Acute,,,,,, ,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Accelerated cumulative inactivation of the sodium current peak in a similar manner,"Kadala, A., M. Charreton, I. Jakob, T. Cens, M. Rousset, M. Chahine, Y. L. Conte, P. Charnet, and C. Collet. 2014. ""Pyrethroids differentially alter voltage-gated sodium channels from the honeybee central olfactory neurons.""  PLoS ONE 9 (11). doi: 10.1371/journal.pone.0112194.",2014, 
Cypermethrin,52315-07-08,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.172,PPDB,0.023,PPDB,65,g/ha,,,,,Oral,Chronic,,24,,,,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,"Reduction in foraging activity, repellent effect to foraging bees","Pashte, V. V., and C. S. Patil. 2017. “Impact of Different Insecticides on the Activity of Bees on Sunflower.” Res Crops2017 18 (1): 153–6.",2017, 
Cypermethrin,52315-07-08,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.172,PPDB,0.023,PPDB,10,g/ha,,,,,Oral,Chronic,,,,,,Adults,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Decline in foraging activity ,"Shires, Stephen W., Andrew Murray, Phillippe Debray, and Jean Le Blanc. 1984. “The Effects of a New Pyrethroid Insecticide WL-85871 on Foraging Honey Bees (Apis Mellifera L.).” Pesticide Science 15 (5): 491–499.",1984, 
Cyphenothrin,39515-40-7,Insecticide,IRAC 3,IRAC 3A,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyproconazole,94361-06-05,Fungicide,FRAC G,FRAC 3 (G1),"Poshbee H2020, ",1,1,100,PPDB|OpenFoodTox,100,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Cyprodinil,121552-61-2,Fungicide,FRAC D,FRAC 9 (D1),"APHIS, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,4,112.5,PPDB,784,PPDB| OpenFoodTox,,,,,,,,,,,,,,,,,,,,,,,
Cyromazine,66215-27-8,Insecticide,IRAC 17,IRAC 17,"APHIS, ",1,1,186,PPDB|OpenFoodTox,200,PPDB,,,,,,,,,,,,,,,,,,,,,,,
"DDD p,p'",72-54-8,Insecticide,IRAC 2,IRAC 2A,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DDE p,p’",72-55-9,Insecticide,IRAC 2,IRAC 2A,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DDT p,p'",50-29-3,Insecticide,IRAC 3,IRAC 3B,"APHIS, Pacific North West, ",1,2,,,,,0.5,μg/bee,0.5,<1,,,Contact,Acute,2,,,,,,,,,Physiological,Biochemical,Increase of cyt. P-450 level and increase in activity of GST. ,"Anjum, F., M. K. J. Siddiqui, H. Sultana, and S. S. H. Qadri. ""Some Metabolic Changes Induced by Ddt and Piperonyl Butoxide in Honeybee Apis Cerana Indica."" COMP. PHYSIOL. ECOL. 13, no. 2 (1988): 85-88.",1988, 
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,0.00053,μg/bee,0.00053,<0.001,0.006708861,<0.01,Oral,Chronic,24,,,,,,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Induction of the cyp9q2 transcript,"Christen, V., Y. Joho, M. Vogel, and K. Fent. ""Transcriptional and PhysiologicalEffects of the Pyrethroid Deltamethrin and the Organophosphate Dimethoate in the Brain of Honey Bees (Apis Mellifera)."" Environ Pollut 244 (Jan 2019): 247-56.",2019, 
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,0.002,μg/bee,0.002,<0.01,,,Contact,Acute,,,,,,Adults,Megachile,Megachile rotundata,Megachile rotundata,Physiological,Reproduction,Females laid 20% fewer eggs than control,"Tasei JN, Carre S, Moscatelli B and Grondeau C, 1988. Recherche de la D.L. 50 de la deltamethrine (Decis) chez Megachile rotundata F. Abeille pollinistatrice de la luzerne (Medicago sativa L.) et des effets de doses infralethales sur les adultes et les larves. Apidologie, 19, 291-306.",1988,"EFSA Panel on Plant Protection, and their Residues (PPR). 2012. “Scientific Opinion on the Science behind the Development of a Risk Assessment of Plant Protection Products on Bees (Apis Mellifera, Bombus Spp. and Solitary Bees).” EFSA Journal 10 (5): 2668."
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,0.0025,μg/bee,0.0025,<0.01,0.03164557,<0.1,Oral,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Orientation/navigation,Longer homing flight duration,"van dame, R., M. Meled, M. ‐E Colin, and L. P. Belzunces. 1995. ""Alteration of the homing‐flight in the honey bee Apis mellifera L. Exposed to sublethal dose of deltamethrin.""  Environmental Toxicology and Chemistry 14 (5):855-860. doi: 10.1002/etc.5620140517.",1995, 
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,0.01,μg/bee,0.01,<0.1,0.126582278,<1,Oral,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Disturbed retrieval of PER at 24h after conditioning,"Thany, S. H., C. M. Bourdin, J. Graton, A. D. Laurent, M. Mathe-Allainmat, J. Lebreton, and J. Y. Questel. ""Similar Comparative Low and High Doses of Deltamethrin and Acetamiprid Differently Impair the Retrieval of the Proboscis Extension Reflex in the Forager Honey Bee (Apis Mellifera)."" Insects 6, no. 4 (Sep 28 2015): 805-14.",2015, 
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,0.01,μg/bee,0.01,<0.1,,,Contact,Acute,,,,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Behavioural,Feeding,Increased uptake of sugar solution,"Tasei, J. N., H. Sabik, L. Pirastru, E. Langiu, J. M. Blanche, J. Fournier, and J. P. Taglioni. 1994. ""Effects of sublethal doses of deltamethrin (Decis Ce) on Bombus terrestris.""  Journal of Apicultural Research 33 (3):129-135. doi: 10.1080/00218839.1994.11100860.",1994, 
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,1,ppm,,,,,Oral,Acute,,,Carbohydrates,Sugar solution,,Adults,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Failed to exhibit any conditioned responses,"Abramson, C. I., I. S. Aquino, F. S. Ramalho, and J. M. Price. ""The Effect of Insecticides on Learning in the Africanized Honey Bee (Apis Mellifera L.)."" Archives of Environmental Contamination and Toxicology 37, no. 4 (Nov 1999): 529-35.",1999, 
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,940,ppb,,,,,Oral,Chronic,264,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Reduction of olfactory learning performances during conditioning trials,"Decourtye, A., J. Devillers, E. Genecque, K. Le Menach, H. Budzinski, S. Cluzeau, and M. H. Pham-Delegue. ""Comparative Sublethal Toxicity of Nine Pesticides on Olfactory Learning Performances of the Honeybee Apis Mellifera."" Arch Environ Contam Toxicol 48, no. 2 (Feb 2005): 242-50.",2005, 
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,0.5,ppm,,,,,Oral,Acute,,24,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Decrease in foraging activity on the food source and at the hive entrance,"Decourtye, A., J. Devillers, S. Cluzeau, M. Charreton, and M. H. Pham-Delegue. ""Effects of Imidacloprid and Deltamethrin on Associative Learning in Honeybees under Semi-Field and Laboratory Conditions."" Ecotoxicol Environ Saf 57, no. 3 (Mar 2004): 410-9.",2004, 
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,0.1,ppm,,,,,Oral,Acute,,,,,,Larvae,Megachile,Megachile rotundata,Megachile rotundata,Physiological,Body development,Less than 40 % of the larvae could not reach the final stage (40% when fed 1 mg/kg). Surviving larvae which completed their cocoon developed less rapidly than the control.,"Tasei JN, Carre S, Moscatelli B and Grondeau C, 1988. Recherche de la D.L. 50 de la deltamethrine (Decis) chez Megachile rotundata F. Abeille pollinistatrice de la luzerne (Medicago sativa L.) et des effets de doses infralethales sur les adultes et les larves. Apidologie, 19, 291-306.",1988,"EFSA Panel on Plant Protection, and their Residues (PPR). 2012. “Scientific Opinion on the Science behind the Development of a Risk Assessment of Plant Protection Products on Bees (Apis Mellifera, Bombus Spp. and Solitary Bees).” EFSA Journal 10 (5): 2668."
Deltamethrin,52918-63-5,Insecticide,IRAC 3,IRAC 3A,"APHIS, EURL, Pacific North West, Porrini et al., 2016, Poshbee H2020, ",1,5,0.079,PPDB,0.0015,PPDB,0.1,ppm,,,,,Oral,Chronic,,,Carbohydrates,Sugar solution,35,Adults,Bombus,Bombus terrestris,Bombus terrestris,Behavioural,Feeding,Reduction of food uptake,"Tasei, J. N., H. Sabik, L. Pirastru, E. Langiu, J. M. Blanche, J. Fournier, and J. P. Taglioni. 1994. ""Effects of sublethal doses of deltamethrin (Decis Ce) on Bombus terrestris.""  Journal of Apicultural Research 33 (3):129-135. doi: 10.1080/00218839.1994.11100860.",1994, 
Desmethyl-pirimicarb,27218-04-8,Insecticide,NA,NA,"Porrini et al., 2016, ",1,1,,,,,3.6,μg/bee,3.6,≥1,,,Oral,Chronic,24,,Carbohydrates,Sugar solution,50, ,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Decrease in food intake ,"Riva, C., M. B. C. Sokolowski, J. Normand, J. S. D. O. Santos, and M. P. Halm-Lemeille. ""Effect of Oral Exposure to the Varroacide Pirimicarb, a New Varroacide Candidate, on Apis Mellifera Feeding Rate."" Pest Management Science 74, no. 8 (2018): 1790-97.",2018, 
Diafenthiuron,80060-09-9,Insecticide,IRAC 12,IRAC 12A,None,0,0,,,1.5,PPDB,1.25,unclear,,,,,Contact,Acute,,1,,,,Adults,Apis,Apis dorsata,Apis dorsata ,Physiological,Biochemical,"Decrease of THC, increase of the percentage of plasmatocytes and granulocytes, decrease of the percentage of prohaemocytes, oenocytoids and granulocytes","Perveen, N., and M. Ahmad. 2017. ""Toxicity of some insecticides to the haemocytes of giant honeybee, Apis dorsata F. under laboratory conditions.""  Saudi Journal of Biological Sciences 24 (5):1016-1022. doi: 10.1016/j.sjbs.2016.12.011.",2017, 
Diafenthiuron,80060-09-9,Insecticide,IRAC 12,IRAC 12A,None,0,0,,,1.5,PPDB,30,ppm,,,,,Oral,Acute,,24,,,,Adults,Apis,Apis cerana,Apis cerana indica,Cognitive,Orientation/navigation,Bees took longer to return to the hive (homing flight),"Stanley J, Chandrasekaran S, Preetha G and Kuttalam S, 2009. Toxicity of diafenthiuron to honey bees in laboratory, semi-field and field conditions. Pest Management Science, 66, 505-510.",2009,"EFSA Panel on Plant Protection, and their Residues (PPR). 2012. “Scientific Opinion on the Science behind the Development of a Risk Assessment of Plant Protection Products on Bees (Apis Mellifera, Bombus Spp. and Solitary Bees).” EFSA Journal 10 (5): 2668."
Diazinon,333-41-5,Insecticide,IRAC 1,IRAC 1B,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, Poshbee H2020, Tosi et al., 2018",1,5,0.09,PPDB|OpenFoodTox,0.13,PPDB,0.18,μg/bee,0.085,<0.1,0.653846154,<1,Contact,Acute,,,,,,,Apis,Apis mellifera,Apis mellifera,Behavioural,Feeding,Precocious foraging,"MacKenzie, K. E., and M. L. Winston. ""The Effects of Sublethal Exposure to Diazinon, Carbaryl and Resmethrin on Longevity and Foraging in Apis Mellifera L."" Apidologie 20, no. 1 (1989): 29-40.",1989,"Thompson, Helen M. ""BehaviouralEffects of Pesticides in Bees - Their Potential for Use in Risk Assessment."" Ecotoxicology 12, no. 1/4 (Feb-Aug 2003): 317-30."
Diazinon,333-41-5,Insecticide,IRAC 1,IRAC 1B,"APHIS, Calatayud-Vernich et al., 2018, Pacific North West, Poshbee H2020, Tosi et al., 2018",1,5,0.09,PPDB|OpenFoodTox,0.13,PPDB,2.5,ppm,,,,,Oral,Chronic,240,,Carbohydrates,Sugar solution,,Adults,Apis,Apis mellifera,Apis mellifera,Physiological,Biochemical,Increase of the acetylcholinesterases activity in the head and decrease in the thorax,"Glavan, G., M. Kos, J. Bozic, D. Drobne, J. Sabotic, and A. J. Kokalj. ""Different Response of Acetylcholinesterases in Salt- and Detergent-Soluble Fractions of Honeybee Haemolymph, Head and Thorax after Exposure to Diazinon."" Comparative Biochemistry and Physiology C-Toxicology & Pharmacology 205 (Feb 2018): 8-14.",2018, 
Diazinon oxon,962-58-3,Insecticide,IRAC 1,IRAC 1B,"APHIS, ",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicamba,1918-00-9,Herbicide,HRAC O,HRAC O,None,0,0,100,PPDB|OpenFoodTox,100,PPDB,,,,,,,,,,,,,,,,,,,,,"Bohnenblust, E. W., A. D. Vaudo, J. F. Egan, D. A. Mortensen, and J. F. Tooker. ""Effects of the Herbicide Dicamba on Nontarget Plants and Pollinator Visitation."" Environmental Toxicology and Chemistry 35, no. 1 (Jan 2016): 144-51.",2016, 
Dichlofenthion,97-17-6,Insecticide,IRAC 1,IRAC 1B,"Calatayud-Vernich et al., 2018, Tosi et al., 2018",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dichlofluanid,1085-98-9,Fungicide,FRAC M,FRAC M06,"Tosi et al., 2018",1,1,,,16,PPDB,,,,,,,,,,,,,,,,,,,,,,,
Dichlorvos (DDVP),62-73-7,Insecticide,IRAC 1,IRAC 1B,"APHIS, Pacific North West, Tosi et al., 2018",1,3,0.29,PPDB,,,,,,,,,,,,,,,,,,,,,,,,,
Diclofop-methyl,51338-27-3,Herbicide,HRAC A,HRAC A,"APHIS, ",1,1,131,PPDB,100,PPDB| OpenFoodTox,,,,,,,,,,,,,,,,,,,,,,,
Dicloran,99-30-9,Fungicide,FRAC F,FRAC 14 (F3),"APHIS, Pacific North West, ",1,2,113,PPDB,100,PPDB| OpenFoodTox,,,,,,,,,,,,,,,,,,,,,,,
Dicofol,115-32-2,Insecticide,IRAC UN*,IRAC UN*,"APHIS, Pacific North West, ",1,2,50,PPDB,,,,,,,,, ,,,,,,,,Apis,Apis mellifera,Apis mellifera,Cognitive,Learning and memory,Decreased acquisition and persistence in conditioned response test,"Stone, J.C., Abramson, C.I., Price, J.M., 1997. Task-dependent effects of dicofol (kelthane) on learning in the honey bee (Apis mellifera). Bull. Environ. Contam. Toxicol. 58, 177–183. ",1997,"Thompson, Helen M. ""Behavioural Effects of Pesticides in Bees - Their Potential for Use in Risk Assessment."" Ecotoxicology 12, no. 1/4 (Feb-Aug 2003): 317-30."
Dieldrin,60-57-1,Insecticide,IRAC 2,IRAC 2A,"APHIS, Pacific North West, ",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dienochlor,2227-17-0,Insecticide,IRAC 2,IRAC 2A,None,0,0,,,36,PPDB,,,,,,,Oral,Chronic,,,Carbohydrates and proteins,,,Adults,Bombus,Bombus terrestris,Bombus terrestris,Physiological,Reproduction,,"Besard, L., V. Mommaerts, J. Vandeven, X. Cuvelier, G. Sterk, and G. Smagghe. ""Compatibility of Traditional and Novel Varroacides with Bumblebees (Bombus Terrestris): A First Laboratory Assessment of Toxicity and Sublethal Effects."" Pest Management Science 66, no. 7 (Jul 2010): 786-93.",2010, 
